prod,e,U,rw
405.3665,929.6105,7.53,386.1361
404.6398,929.804,7.7,388.1358
403.8149,930.3184,7.47,390.5401
404.2158,931.4277,7.27,393.9638
405.0467,932.662,7.37,396.7647
404.4167,933.5509,7.13,400.0217
402.8191,933.5315,7.4,400.7515
401.9773,933.0769,8.33,405.7335
402.0897,932.1238,8.83,409.0504
401.3067,930.6359,10.43,411.3984
401.6302,929.0971,12.2,413.0194
401.5638,928.5633,12.77,415.167
402.8157,929.0694,12.43,414.6621
403.1421,930.2655,12.23,415.7319
403.0786,931.677,11.7,416.2315
403.7188,932.139,11.2,418.1439
404.8668,932.2767,11.27,419.7352
405.6362,932.8328,11.47,420.4842
405.1363,933.7334,11.3,420.9309
406.0246,934.1772,11.17,422.1124
406.4123,934.5928,11,423.6278
406.3009,935.6067,10.63,423.9887
406.3354,936.5111,10.27,424.1902
406.7737,937.4201,10.2,426.127
405.1525,938.4159,9.67,426.8578
404.9298,938.9992,9.6,426.7457
404.5765,939.2354,9.6,426.8858
404.1995,939.6795,9.5,428.8403
405.9499,940.2497,9.5,430.1223
405.8221,941.4358,9.03,430.2307
406.4463,942.2981,8.7,430.393
407.0512,943.5322,8.13,432.0284
407.946,944.349,7.87,433.3886
408.1796,944.8215,7.67,433.9641
408.5998,945.0671,7.8,434.4844
409.0906,945.8067,7.73,436.1569
408.7042,946.8697,7.57,438.2651
408.9803,946.8766,7.57,438.7636
408.3287,947.2497,7.33,439.9498
407.8857,947.6513,7.57,441.8359
407.2605,948.184,7.63,443.1769
406.7752,948.3492,7.6,444.3592
406.1794,948.0322,8.17,444.5236
405.4398,947.1065,9.2,446.9694
403.28,946.0796,10.17,450.1586
403.3649,946.1838,10.33,451.5464
403.3807,946.2258,10.4,452.2984
404.0032,945.9978,10.37,453.1201
404.4774,945.5183,10.6,453.9991
404.7868,945.3514,11,454.9552
405.271,945.2918,11.4,455.4824
405.383,945.4008,11.73,456.1009
405.1564,945.9058,11.07,457.2027
406.47,945.9035,11.67,457.3886
406.2293,946.319,11.47,457.7799
406.7265,946.5796,11.3,457.5535
408.5785,946.78,10.97,458.8024
409.6767,947.6283,10.63,459.0564
410.3858,948.6221,10.1,459.1578
410.5395,949.3992,9.67,459.7037
410.4453,949.9481,9.53,459.7037
410.6256,949.7945,9.47,460.0258
410.8672,949.9534,9.5,461.0257
411.2359,950.2502,9.27,461.3039
410.6637,950.538,9.5,461.4031
410.8085,950.7871,9.43,462.9277
412.116,950.8695,9.7,464.6888
412.9994,950.9281,9.9,465.0717
412.9551,951.8457,9.43,464.2851
412.8241,952.6005,9.3,464.0344
413.0489,953.5976,8.87,463.4535
413.611,954.1434,8.77,465.0717
413.6048,954.5426,8.6,466.0889
412.9684,955.2631,8.33,466.6171
412.2659,956.0561,8.17,465.7478
412.9106,956.7966,8.03,465.8995
413.8294,957.3865,7.9,466.4099
414.2242,958.0634,7.87,466.9552
415.1678,958.7166,7.53,467.6281
415.7016,959.4881,6.93,467.7026
416.8674,960.3625,6.8,469.1348
417.6104,960.7834,6.7,469.3364
418.003,961.029,6.93,470.0117
417.2667,961.7657,6.87,469.6472
